site,plot,arable_horticulture,broadleaved_woodland,improved_grassland,neutral_grassland,suburban,rough_grassland,freshwater,urban
81,1,0.08928571428571429,0.022321428571428572,0.8258928571428571,0.0625,0,0,0,0
81,2,0.011135857461024499,0.013363028953229399,0.9510022271714922,0,0.024498886414253896,0,0,0
81,3,0.06531531531531531,0.02252252252252252,0.8716216216216216,0.04054054054054054,0,0,0,0
81,4,0.04484304932735426,0.02242152466367713,0.8878923766816144,0.04484304932735426,0,0,0,0
82,1,0.19550561797752808,0.038202247191011236,0.7303370786516854,0,0.035955056179775284,0,0,0
82,2,0.17002237136465326,0,0.8299776286353467,0,0,0,0,0
82,3,0.17607223476297967,0,0.8239277652370203,0,0,0,0,0
82,4,0.21923937360178972,0,0.7807606263982103,0,0,0,0,0
83,1,0.10044642857142858,0,0.8995535714285714,0,0,0,0,0
83,2,0.1348314606741573,0.0022471910112359553,0.8629213483146068,0,0,0,0,0
83,3,0.09375,0,0.8928571428571429,0.013392857142857142,0,0,0,0
83,4,0.08071748878923767,0,0.7959641255605381,0.03139013452914798,0,0.09192825112107623,0,0
84,1,0.7488789237668162,0,0.20179372197309417,0,0,0.04932735426008968,0,0
84,2,0.6179775280898876,0,0.33707865168539325,0,0,0.0449438202247191,0,0
84,3,0.48758465011286684,0,0.45372460496614,0,0,0.05869074492099323,0,0
84,4,0.6127562642369021,0.07289293849658314,0.30068337129840544,0,0,0.01366742596810934,0,0
85,1,0.111358574610245,0,0.888641425389755,0,0,0,0,0
85,2,0.040632054176072234,0,0.9232505643340858,0.03611738148984198,0,0,0,0
85,3,0.12837837837837837,0,0.8513513513513513,0.02027027027027027,0,0,0,0
85,4,0.21396396396396397,0,0.6824324324324325,0.1036036036036036,0,0,0,0
86,1,0.348993288590604,0,0.5234899328859061,0.12751677852348994,0,0,0,0
86,2,0.5169300225733634,0,0.3837471783295711,0.09932279909706546,0,0,0,0
86,3,0.6659242761692651,0,0.24053452115812918,0.0935412026726058,0,0,0,0
86,4,0.7274774774774775,0,0.23198198198198197,0.04054054054054054,0,0,0,0
87,1,0.3752808988764045,0,0.6247191011235955,0,0,0,0,0
87,2,0.14606741573033707,0,0.8539325842696629,0,0,0,0,0
87,3,0.06950672645739911,0,0.8766816143497758,0,0,0.053811659192825115,0,0
87,4,0.350561797752809,0,0.597752808988764,0,0,0.051685393258426963,0,0
88,1,0.16071428571428573,0,0.8125,0,0,0,0.026785714285714284,0
88,2,0.13211845102505695,0,0.8678815489749431,0,0,0,0,0
88,3,0.1515837104072398,0,0.8484162895927602,0,0,0,0,0
88,4,0.19506726457399104,0,0.7286995515695067,0,0,0,0.0515695067264574,0.02466367713004484
89,1,0.4401805869074492,0,0.5530474040632054,0,0,0.006772009029345372,0,0
89,2,0.4343891402714932,0,0.5656108597285068,0,0,0,0,0
89,3,0.3794642857142857,0,0.5178571428571429,0,0,0.10267857142857142,0,0
89,4,0.20495495495495494,0,0.795045045045045,0,0,0,0,0
90,1,0.22098214285714285,0,0.7790178571428571,0,0,0,0,0
90,2,0.1681614349775785,0,0.8318385650224215,0,0,0,0,0
90,3,0.3794642857142857,0,0.6205357142857143,0,0,0,0,0
90,4,0.40311804008908686,0,0.5968819599109132,0,0,0,0,0
91,1,0.14508928571428573,0,0.765625,0,0,0.08928571428571429,0,0
91,2,0.4192825112107623,0,0.46860986547085204,0,0,0.11210762331838565,0,0
91,3,0.6975169300225733,0,0.1963882618510158,0,0,0.10609480812641084,0,0
91,4,0.6171171171171171,0,0.29504504504504503,0,0,0.08783783783783784,0,0
92,1,0.38392857142857145,0.004464285714285714,0.5245535714285714,0,0,0.08705357142857142,0,0
92,2,0.4864864864864865,0.02252252252252252,0.4436936936936937,0,0,0.0472972972972973,0,0
92,3,0.348993288590604,0.011185682326621925,0.5637583892617449,0,0,0.07606263982102908,0,0
92,4,0.36160714285714285,0.015625,0.5714285714285714,0,0,0.05133928571428571,0,0
93,1,0.29017857142857145,0,0.7098214285714286,0,0,0,0,0
93,2,0.28314606741573034,0,0.7078651685393258,0,0,0.008988764044943821,0,0
93,3,0.0639269406392694,0,0.9360730593607306,0,0,0,0,0
95,1,0.45982142857142855,0,0.30357142857142855,0,0,0.23660714285714285,0,0
95,2,0.2708803611738149,0,0.4198645598194131,0,0,0.309255079006772,0,0
95,3,0.28216704288939054,0,0.3047404063205418,0.024830699774266364,0,0.38826185101580135,0,0
95,4,0.2556053811659193,0,0.40358744394618834,0.06950672645739911,0,0.2713004484304933,0,0
96,1,0.5112107623318386,0,0.4663677130044843,0,0.02242152466367713,0,0,0
96,2,0.42152466367713004,0,0.437219730941704,0,0.1412556053811659,0,0,0
96,3,0.29705215419501135,0,0.6757369614512472,0,0,0.027210884353741496,0,0
96,4,0.4584269662921348,0,0.44719101123595506,0,0.06292134831460675,0.03146067415730337,0,0
97,1,0.48314606741573035,0,0.5168539325842697,0,0,0,0,0
97,2,0.44646924829157175,0,0.4601366742596811,0,0,0.09339407744874716,0,0
97,3,0.4817351598173516,0,0.4589041095890411,0,0,0.0593607305936073,0,0
97,4,0.35412026726057905,0,0.5567928730512249,0,0,0.08908685968819599,0,0
98,2,0.27640449438202247,0,0.6651685393258427,0,0,0.058426966292134834,0,0
98,3,0.3595505617977528,0,0.5685393258426966,0,0,0.07191011235955057,0,0
98,4,0.3609865470852018,0,0.594170403587444,0,0,0.04484304932735426,0,0
98,5,0.3087248322147651,0,0.6219239373601789,0,0,0.06935123042505593,0,0
